g1,g2,g3,g4,g5,f1
0.3241560570046731,0.019476742385832302,0.9290986162646171,0.8787218778231842,0.8316655293611794,0.3574329487240709
0.3241560570046731,0.019476742385832302,0.9290986162646171,0.8787218778231842,0.8316655293611794,0.3574329487240709
0.32317233285412056,0.0,0.9290986162646171,0.8787218778231842,0.8316655293611794,0.3574329487240709
0.32317233285412056,0.0,0.9290986162646171,0.8787218778231842,0.8316655293611794,0.3574329487240709
0.5027544343603587,0.0195234275628179,0.5129625295071294,0.31471595596467067,0.8649313583123491,0.3567908552965152
0.36385798115792467,0.0037269455347652505,0.656272340652904,0.4386840392127471,0.898394697547937,0.3592483950980293
0.43171313484716456,0.0037269455347652505,0.656272340652904,0.4386840392127471,0.898394697547937,0.3648988206890729
0.45247919235834755,0.028584950433651963,0.41481917165696114,0.5647859119490352,0.8808142297271437,0.36469924579921587
0.4542112666307233,0.007908054200642682,0.435133020763476,0.5903182695802851,0.8827106479510036,0.36485084291764813
0.4324795161865322,0.017402399731098972,0.41846252987459914,0.5214918846479946,0.8982865200688229,0.3648988206890729
0.4594651093729455,0.013163485032258358,0.4255457084460501,0.5372108339589909,0.8812970716859176,0.3648857405877387
0.4318137116083206,0.0,0.4958726627625889,0.543669620125987,0.8965407488950635,0.3648988206890729
0.43212262475203056,0.0017365707246727352,0.48171043605786373,0.5452907435877192,0.8797848355759631,0.3648988206890729
0.4595839542359676,0.01296343068430815,0.6332074771301779,0.652540320092085,0.8818076126233163,0.3648857405877387
0.4595839542359676,0.01296343068430815,0.6332074771301779,0.652540320092085,0.8818076126233163,0.3648857405877387
0.45926088346408284,0.012814330302171866,0.6005235418582396,0.596201594133065,0.8816802175338968,0.3648857405877387
0.4581171603836152,0.0047959871575031475,0.6584780758970072,0.621366986687095,0.8814017125868234,0.3648857405877387
0.4587657330482328,0.0046550080518278705,0.45130122251881516,0.6688296739611558,0.8812841045017161,0.3648857405877387
0.4583097426637429,0.004033987053623417,0.5671045945248623,0.5268438723367862,0.8816646647013247,0.3648857405877387
0.45862710352850355,0.0044601296912871475,0.589631534677297,0.47844195057781785,0.8818806648101778,0.3648857405877387
0.45896027996642114,0.012063224428529806,0.5641218217041786,0.6367511028219507,0.8816493099377042,0.3648857405877387
0.4586468559656248,0.017269985741635033,0.4474939768833049,0.5075807105095189,0.8811861006494974,0.3648857405877387
0.4587788386370013,0.0044760866105783125,0.569258207241044,0.6142211940530046,0.8815133093370968,0.3648857405877387
0.45848304874274437,0.004415046814060616,0.5392376448540048,0.5057379270043971,0.8815339661184135,0.3648857405877387
0.4588662360679173,0.004576789242928992,0.5741100557234093,0.6034023175670272,0.881487042777336,0.3648857405877387
0.4587934086655693,0.004082079895171968,0.639214323286646,0.5803686266354414,0.8815585605753152,0.3648857405877387
