g1,g2,g3,g4,g5,f1
0.1904099143618777,0.09693081422882333,0.4310511824063775,0.4235786230199208,0.467024668036675,0.2497864711369499
0.20212328185293293,0.636785293547403,0.6720985677059756,0.2354433604747942,0.7182486699364362,0.2541117403799939
0.48042655814309987,0.09268061418083415,0.27502931836911926,0.22321073814882275,0.6899558868277452,0.25650714531826324
0.44723604501065745,0.6209858637038649,0.7315389208878079,0.9091039047697617,0.6958397405120337,0.24286245100571718
0.3906425144556158,0.3638801967015604,0.5193424612393001,0.8163964721220192,0.3712674937496865,0.26305638693462896
0.3946543361457636,0.2107993084137358,0.6560333363121132,0.881724368366551,0.6880770302954485,0.2733051988652567
0.18654588922713003,0.5410356303370041,0.1133514875496141,0.5558855567615368,0.8332581491459765,0.2555014965692047
0.4825497345669732,0.6217788165917655,0.6407160559716814,0.9100552489082612,0.7541054152201992,0.2621116607870475
0.8613491047618306,0.601532129248112,0.0,0.9999999999999998,0.8755908440870088,0.25324229266758413
0.8613491047618306,0.601532129248112,0.0,0.9999999999999998,0.8755908440870088,0.25324229266758413
0.9328523126849244,0.4988088129097074,0.0,0.7554221868501156,0.8156868865525628,0.2524252883333137
0.48339491131680945,0.24271600040037117,0.13667810805115232,0.6539840328916883,0.8153938060594286,0.2548165466545787
0.8570779272103105,0.40006941136731056,0.2663140987942056,0.9187100436368344,0.8398403313056358,0.24470930310809344
0.9327305305135631,0.5959120685817433,0.02833776796164527,0.7650484436661316,0.9159916242817092,0.25227563194001945
0.9327305305135631,0.5959120685817433,0.02833776796164527,0.7650484436661316,0.9159916242817092,0.25227563194001945
0.9327305305135631,0.5959120685817433,0.02833776796164527,0.7650484436661316,0.9159916242817092,0.25227563194001945
0.8292408094411592,0.43676389083927125,0.198592988596086,0.7541278342098061,0.8655403168566771,0.25505534285040665
