g1,g2,g3,g4,g5,f1
0.7045718362149235,0.045824383655662215,0.22789827565154686,0.28938796360210717,0.0797919769236275,0.7947970239161103
0.8315895819477985,0.0637129267332779,0.6363617025368082,0.6522099435328609,0.06682532063836473,0.7952093675735348
0.8315895819477985,0.0637129267332779,0.6363617025368082,0.5699282141954521,0.06682532063836473,0.7952093675735348
0.4375313455010996,0.20721977183190227,0.4308193381153299,1.0,0.13128411578538793,0.803160416935091
0.4375313455010996,0.20721977183190227,0.4097622212564565,1.0,0.13128411578538793,0.803160416935091
0.4375313455010996,0.20721977183190227,0.4097622212564565,1.0,0.13128411578538793,0.803160416935091
0.4375313455010996,0.20721977183190227,0.4097622212564565,1.0,0.13128411578538793,0.803160416935091
0.4375313455010997,0.20721977183190227,0.43081933811532985,1.0,0.1312841157853879,0.803160416935091
0.35623208752130003,0.2564994004643677,0.32296660628160867,1.0,0.12668616819614048,0.803814285261824
0.35623208752130003,0.2564994004643677,0.3229666062816087,1.0,0.12668616819614048,0.803814285261824
0.35623208752130003,0.2564994004643677,0.3229666062816087,1.0,0.12668616819614048,0.803814285261824
0.35623208752130003,0.2564994004643677,0.3229666062816087,1.0,0.12668616819614048,0.803814285261824
0.35837488018340025,0.24403816306473333,0.323042574599672,1.0,0.1265357717968333,0.8047100750498203
0.5212645895140718,0.24947268469292994,0.3891025450639302,1.0,0.12279151699274166,0.8044524664992497
0.5222198518937914,0.22858043921373952,0.36804740197814534,1.0,0.12297284315380723,0.8044524664992497
0.5212645895140718,0.24947268469292994,0.3891025450639302,1.0,0.12279151699274166,0.8044524664992497
0.5206727125056149,0.23213496641455234,0.37598559992717434,1.0,0.12338880814819728,0.8044524664992497
0.5213191096334305,0.24838460055948416,0.3827292219237515,1.0,0.12351827137783195,0.8044524664992497
0.5210426042340877,0.24608741768150627,0.3535967160052505,1.0,0.1236332492070762,0.8044524664992497
0.5219552091699281,0.24273130496568218,0.3827342256171159,1.0,0.12356540177830423,0.8044524664992497
0.5213013383042859,0.2460966638729608,0.3824551612361878,1.0,0.12358964324982855,0.8044524664992497
0.5211777463741024,0.24611620530743336,0.38100753045849073,1.0,0.12291976979098906,0.8044524664992497
