gene1,gene2,gene3,gene4,gene5,f1
0.23279088636103018,0.10100142940972912,0.2779736031100921,0.6356844442644002,0.36483217897008424,0.27627253485940234
0.07238123311038196,0.20281144994413502,0.3949910649441791,0.22095378185642578,0.467024668036675,0.28789901294301595
0.33659454511262676,0.09274584338014791,0.022201219295107766,0.6445263775811096,0.6037260313668911,0.31300051604625145
0.22172731340550667,0.06863297106042773,0.0007182460543153253,0.1709899258012529,0.4832138235470199,0.3306318537078857
0.4594117206118308,0.0585143814848941,0.0,0.41787225358956404,0.3860473320178526,0.3482067504939505
0.4594117206118308,0.0585143814848941,0.0,0.41787225358956404,0.3860473320178526,0.3482067504939505
0.42716772369708744,0.12232864700119397,0.0,0.41496247533432035,0.421754324070883,0.34858149184891535
0.37379577524761526,0.060238686686945424,3.962531257993671e-06,0.3438213816619977,0.3818842988562909,0.34147115114792204
0.35252191026201346,0.13977746474043698,0.0013681598607107458,0.28655056770061965,0.3879827495171024,0.34489547941439114
0.3727247300096073,0.11925246218118135,0.00273773997989643,0.3159362141741814,0.5723422872494663,0.3474327732196949
0.34996228964540266,0.0826211405625259,0.0003881207045712701,0.2848722513358767,0.4998931716399419,0.34605855902810356
0.36895145685239594,0.0636750526070897,4.321867122491708e-05,0.2978312173063278,0.4495791092738341,0.34589281137907985
0.37778091516807877,0.07327062695894462,5.391159558336929e-05,0.273547566093116,0.2707068107634604,0.3481026629958784
0.36917734269046104,0.0935093264841232,0.00015218386150406973,0.29735885592452,0.21577211588898054,0.3499009543421764
0.4230093517459067,0.063191666198045,0.0,0.2851478482880856,0.426632111180887,0.3503465675274722
0.4230093517459067,0.0792783325841578,0.0,0.2851478482880856,0.42663211118088695,0.3503465675274722
0.3964643330400885,0.06829241041167353,7.189598252102755e-06,0.296842068138429,0.436936382232621,0.3516739570158759
0.3964643330400885,0.06829241041167353,7.189598252102755e-06,0.296842068138429,0.436936382232621,0.3516739570158759
0.4230093517459067,0.07927833258415781,0.0,0.2851478482880856,0.42663211118088695,0.3503465675274722
0.47023265572840733,0.0032889290314764407,7.422812924890058e-06,0.3967483040340109,0.3982309884787426,0.35206813453595637
0.41880531784385455,0.07796516837493882,1.8554038683429024e-05,0.2851055077452684,0.42842709239779464,0.3511850470626782
0.41880531784385455,0.07796516837493882,1.8554038683429024e-05,0.2851055077452684,0.42842709239779464,0.3511850470626782
0.41880531784385455,0.07796516837493882,1.8554038683429024e-05,0.2851055077452684,0.42842709239779464,0.3511850470626782
0.41880531784385455,0.07796516837493882,1.8554038683429024e-05,0.2851055077452684,0.42842709239779464,0.3511850470626782
0.41861604856223533,0.07797973063502914,1.7155532731013956e-05,0.2851074995098699,0.4480392458078161,0.3511850470626782
0.42481211784727957,0.07088199187368271,0.00013560075074159773,0.28542885127978473,0.3981319023424604,0.3538329909383416
0.4186060147469932,0.07794105268261473,1.4618932030686871e-05,0.2851048980744151,0.445253667146622,0.3511850470626782
0.4186060147469932,0.07794105268261473,1.4618932030686871e-05,0.2851048980744151,0.445253667146622,0.3511850470626782
0.4186060147469932,0.07794105268261473,1.4618932030686871e-05,0.2851048980744151,0.445253667146622,0.3511850470626782
0.4279017878462797,0.07795485807170553,0.0,0.2856217752236757,0.4289713336854544,0.3516988132824167
0.41936190625304665,0.0779483241833328,1.5332896882678763e-05,0.28510560678843166,0.44345207607610093,0.3511850470626782
0.41859915984523927,0.07794374179165724,1.4908396592405069e-05,0.2851051908759229,0.44540001039725075,0.3511850470626782
0.41940115668470407,0.07794820679826894,1.7349850579455e-05,0.2851059329261894,0.4413861520262927,0.3511850470626782
0.4192658453307264,0.07794462477644903,1.601691715986561e-05,0.2851056691574208,0.4457603009718615,0.3511850470626782
