,ORIG_mfcc_mean_0,AUG_mfcc_mean_0,ORIG_mfcc_std_0,AUG_mfcc_std_0,ORIG_rms_mean,AUG_rms_mean,ORIG_rms_std,AUG_rms_std,ORIG_zcr_mean,AUG_zcr_mean,ORIG_zcr_std,AUG_zcr_std
count,1136.0,2272.0,1136.0,2272.0,1136.0,2272.0,1136.0,2272.0,1136.0,2272.0,1136.0,2272.0
mean,-623.6516013884209,-463.941634325914,53.71961033134393,48.87858126239038,0.0024548808347504953,0.004002127488592341,0.001351500837537286,0.002077860650336884,0.0915201389871943,0.18256935760438459,0.05139400524541872,0.0907707879736852
std,108.89387059477507,51.78472577177611,22.063351420593204,20.694690492173418,0.00215720175512631,0.0014211369206596485,0.0012861549224347337,0.0009099398671167953,0.07225538842097473,0.09461493401664871,0.033523217673053704,0.03918618894343736
min,-826.805419921875,-639.5645751953125,6.043485164642334,10.18211841583252,7.933293818496168e-05,0.0007151024183258,8.487897503073327e-06,0.0002560027351137,0.0056020506432004,0.0551271126940359,0.0055147248038734,0.0293055231627307
25%,-724.8446655273438,-503.38189697265625,41.915953636169434,37.4757194519043,0.0007101145019987,0.0030461088754236,0.00026881814119405004,0.0014792667934671,0.0407014380021761,0.1071761499036641,0.023559528854726775,0.0655905174185626
50%,-645.230712890625,-471.87060546875,55.17898750305176,49.14912796020508,0.0010245902813039499,0.0038435652386397,0.0004604231362463,0.0018054789397865,0.08750513607380306,0.1610858465343402,0.04760812203308745,0.0829749981722578
75%,-524.2869873046875,-436.26654052734375,68.11402130126953,61.89308547973633,0.004246634198352625,0.0047851046547293,0.0024281983496621,0.0028452237602323,0.11956144359013805,0.2701360060596351,0.0663433083792464,0.1053273618523028
max,-362.4100036621094,-359.22735595703125,138.01596069335938,112.57645416259766,0.0111944619566202,0.0073184422217309,0.0054823118261992,0.0043852855451405,0.4982057005494505,0.3990333686440678,0.2115457816042697,0.1860166678249674
