,ORIG_mfcc_mean_0,AUG_mfcc_mean_0,ORIG_mfcc_std_0,AUG_mfcc_std_0,ORIG_rms_mean,AUG_rms_mean,ORIG_rms_std,AUG_rms_std,ORIG_zcr_mean,AUG_zcr_mean,ORIG_zcr_std,AUG_zcr_std
count,1136.0,2272.0,1136.0,2272.0,1136.0,2272.0,1136.0,2272.0,1136.0,2272.0,1136.0,2272.0
mean,-623.6516013884209,-512.2670487282982,53.71961033134393,70.8110148218316,0.0024548808347504953,0.003910502294338912,0.001351500837537286,0.0021231363412162647,0.0915201389871943,0.1252323584969526,0.05139400524541872,0.07255501915668784
std,108.89387059477507,74.22348037496691,22.063351420593204,26.903700560058653,0.00215720175512631,0.0014500758512595259,0.0012861549224347337,0.0009173724413712063,0.07225538842097473,0.11454851231242465,0.033523217673053704,0.05152913052134033
min,-826.805419921875,-755.3131103515625,6.043485164642334,13.91699504852295,7.933293818496168e-05,0.000661171390675,8.487897503073327e-06,0.0002834705519489,0.0056020506432004,0.0167344555412371,0.0055147248038734,0.0162936837296622
25%,-724.8446655273438,-548.4011840820312,41.915953636169434,66.38592529296875,0.0007101145019987,0.0029662896413356,0.00026881814119405004,0.0015138179296627,0.0407014380021761,0.0503369743441358,0.023559528854726775,0.042391998456709
50%,-645.230712890625,-539.0601806640625,55.17898750305176,73.13951873779297,0.0010245902813039499,0.0037691998295485,0.0004604231362463,0.0018743962282314,0.08750513607380306,0.0616454603697046,0.04760812203308745,0.05808461031654
75%,-524.2869873046875,-450.0943908691406,68.11402130126953,85.23097229003906,0.004246634198352625,0.0047553521580994,0.0024281983496621,0.0028872184921056,0.11956144359013805,0.2365434347042743,0.0663433083792464,0.0921014559882297
max,-362.4100036621094,-362.5377197265625,138.01596069335938,137.9637908935547,0.0111944619566202,0.0072969882749021,0.0054823118261992,0.0043864645995199,0.4982057005494505,0.3892404256305638,0.2115457816042697,0.1907543407231317
