drill,hole,prob_xgb,label_real,threshold_xgb
drill_4mm_05_batch_00_collet_1_30-01-2025,18,0.0021452848,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,19,0.0027954797,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,20,0.003156526,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,21,0.014625625,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,22,0.122772545,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,23,0.0033889294,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,24,0.1429216,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,25,0.13236053,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,26,0.001594011,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,27,0.00780833,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,28,0.0027128223,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,29,0.029450765,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,30,0.047905464,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,31,0.0039447905,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,32,0.030594148,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,33,0.07981885,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,34,0.031389244,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,35,0.07729228,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,36,0.09200136,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,37,0.00065526465,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,38,0.0042202305,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,39,0.007783445,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,40,0.14272985,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,41,0.024933198,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,42,0.02226012,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,43,0.031566367,0,0.1
