mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_13,mfcc_mean_14,mfcc_mean_15,mfcc_mean_16,mfcc_mean_17,mfcc_mean_18,mfcc_mean_19,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,mfcc_std_13,mfcc_std_14,mfcc_std_15,mfcc_std_16,mfcc_std_17,mfcc_std_18,mfcc_std_19,rms_mean,rms_std,zcr_mean,zcr_std,source
-497.3232116699219,52.30014419555664,-33.27143478393555,3.0775222778320312,11.590089797973633,4.500752925872803,-5.6306891441345215,-13.080633163452148,-2.126054048538208,-30.4266300201416,-15.401290893554688,-4.80983829498291,-2.7919154167175293,-12.93005657196045,-23.05760383605957,-6.244237899780273,-32.37774658203125,2.3970701694488525,3.245516538619995,-7.944319725036621,12.658870697021484,7.469069957733154,8.570820808410645,5.452710151672363,5.031294822692871,5.055698871612549,4.6925048828125,4.814530372619629,5.633363246917725,5.867335319519043,4.386397361755371,4.256951808929443,4.679667949676514,4.871769428253174,4.642024993896484,4.6140289306640625,4.2832136154174805,4.297074317932129,4.4733052253723145,4.668862819671631,0.0016683986177667975,0.00025953492149710655,0.20193904681797445,0.043199000620243184,segmented
-522.2540283203125,77.68782806396484,-19.95516014099121,1.9927161931991577,14.236226081848145,-0.7917613387107849,-5.177934646606445,-13.671339988708496,-5.0404253005981445,-19.46014404296875,-22.294193267822266,-9.25255012512207,0.45884808897972107,-14.806870460510254,-22.288829803466797,-14.50683307647705,-31.847034454345703,6.860000133514404,-5.6493916511535645,-9.616991996765137,47.299137115478516,17.248382568359375,13.684720993041992,6.77318000793457,7.070789337158203,9.38943099975586,6.299485683441162,4.904489040374756,4.595414638519287,5.970299243927002,5.4764933586120605,4.903513431549072,4.708778381347656,5.013059616088867,4.704780578613281,5.27959680557251,6.746082305908203,4.5525288581848145,4.628364086151123,4.932253360748291,0.0018574120476841927,0.0008036048384383321,0.13229725396455225,0.06633350639915309,segmented
-488.0320739746094,37.14521026611328,-33.193885803222656,2.436659812927246,5.029220104217529,8.458749771118164,-11.37313175201416,-14.726431846618652,-7.3659586906433105,-27.60147476196289,-13.548543930053711,-8.622912406921387,-2.5521132946014404,-15.820089340209961,-19.291044235229492,-10.304708480834961,-34.682403564453125,1.8283514976501465,6.048628807067871,-0.8818243741989136,12.077289581298828,9.191514015197754,10.254053115844727,6.320891380310059,5.521723747253418,4.928884983062744,4.956127643585205,5.143353462219238,5.844371318817139,6.193840503692627,5.1474456787109375,4.629350185394287,4.661243915557861,5.085433483123779,5.22689962387085,4.673686981201172,4.73193883895874,4.372339725494385,4.641573905944824,4.8280181884765625,0.0018018907867372036,0.0003201737708877772,0.24354020566765092,0.0660482306685719,segmented
-521.9191284179688,61.51414108276367,-25.430463790893555,-5.145718574523926,16.76250648498535,0.6447216272354126,-9.222519874572754,-12.350578308105469,-8.123673439025879,-24.699064254760742,-16.88460922241211,-9.999663352966309,0.7143622636795044,-15.260346412658691,-23.210037231445312,-10.277497291564941,-32.434452056884766,3.9310574531555176,0.22159238159656525,-5.092370510101318,43.01057434082031,17.590290069580078,14.045209884643555,6.9072957038879395,6.363931179046631,9.315861701965332,6.818673610687256,4.912187099456787,5.37961483001709,6.605743408203125,6.579216003417969,4.975463390350342,5.254669189453125,5.327326774597168,4.970729351043701,5.012527942657471,6.8327836990356445,5.628020763397217,5.927932262420654,4.745789527893066,0.0015122516779229045,0.00047931625158526003,0.19384841879229567,0.07818148634280879,segmented
-490.5501708984375,57.84050369262695,-24.449974060058594,-0.2687602639198303,8.261574745178223,2.92324161529541,-10.52013111114502,-9.571368217468262,-7.299491882324219,-23.840730667114258,-12.001755714416504,-11.43832015991211,-4.645590782165527,-12.004101753234863,-18.962493896484375,-6.7928996086120605,-28.773832321166992,-1.2079614400863647,4.777007102966309,-1.8417681455612183,64.09588623046875,15.246005058288574,15.804122924804688,9.022196769714355,7.832907199859619,9.7704496383667,7.582564353942871,5.363048553466797,5.29466438293457,7.468486785888672,6.992620468139648,5.67765998840332,5.371728897094727,5.629868507385254,5.975436687469482,6.587567329406738,8.09567642211914,5.333965301513672,5.830549716949463,4.690553665161133,0.0019421938341110945,0.000758491747546941,0.21580928060535365,0.09208048328001651,segmented
-518.8453979492188,58.5953254699707,-20.295696258544922,-2.0896413326263428,12.637706756591797,4.347280502319336,-13.397929191589355,-7.955850601196289,-6.5646653175354,-24.489543914794922,-15.54083251953125,-13.233368873596191,-0.6675495505332947,-14.286498069763184,-23.076189041137695,-8.546878814697266,-30.57867431640625,3.5566344261169434,-2.4607625007629395,-4.215563774108887,42.881805419921875,11.270317077636719,12.90982437133789,6.308551788330078,6.396422863006592,7.189923286437988,7.4901299476623535,5.540630340576172,4.948567867279053,7.413641452789307,6.371473789215088,4.889110565185547,5.179999351501465,4.741992473602295,4.820811748504639,5.566436767578125,6.053134441375732,4.822408199310303,4.72063684463501,4.703171730041504,0.0014807155821472406,0.0005284101353026927,0.19747609521749876,0.08101315346173325,segmented
-528.7644653320312,55.54903793334961,-19.434101104736328,1.2837274074554443,11.092844009399414,3.798809051513672,-5.138614654541016,-16.58040428161621,-4.412051200866699,-26.999929428100586,-17.65049934387207,-7.383695602416992,-1.5236128568649292,-13.978489875793457,-27.17589569091797,-6.906561374664307,-22.8530330657959,1.607395052909851,-2.9040229320526123,-4.201625347137451,58.57229232788086,14.421146392822266,14.307234764099121,7.361935615539551,8.227352142333984,12.241267204284668,6.6110687255859375,5.069086074829102,5.110952854156494,8.38128662109375,6.183802127838135,4.615573883056641,5.030564308166504,5.107757568359375,5.334568977355957,5.000136852264404,5.830360412597656,5.837806224822998,5.203095436096191,4.292115211486816,0.0014188130153343081,0.0005654114065691829,0.23648371986373165,0.08453566091376333,segmented
-512.9376220703125,54.269222259521484,-15.850324630737305,-0.868993878364563,12.825050354003906,4.234875679016113,-6.617957592010498,-10.48924732208252,-8.02197551727295,-27.887969970703125,-15.88007926940918,-6.46323823928833,0.4590373635292053,-15.048568725585938,-26.084367752075195,-5.06876802444458,-19.672351837158203,-1.2494827508926392,-1.8965989351272583,-4.0059590339660645,62.356346130371094,15.99658489227295,14.675537109375,7.031999111175537,8.680438995361328,10.989213943481445,6.867833137512207,5.392907619476318,6.805968284606934,8.4617919921875,6.820353984832764,5.243055820465088,5.857194423675537,6.765527248382568,6.045175075531006,5.156369686126709,6.357271194458008,6.270937919616699,5.754425525665283,4.8214216232299805,0.0016817477298900485,0.000743083655834198,0.23618993748206085,0.09864448826777407,segmented
-577.6896362304688,80.1445541381836,-10.498842239379883,-9.183212280273438,11.963432312011719,-9.986857414245605,-1.481600284576416,-5.926800727844238,-4.524724006652832,-18.580522537231445,-8.598724365234375,-5.0640788078308105,-1.432396650314331,-13.712547302246094,-16.640342712402344,-0.09209957718849182,-13.928059577941895,4.191470623016357,-0.8022085428237915,-2.938356876373291,130.6964569091797,24.17249870300293,11.620760917663574,10.242226600646973,10.834138870239258,17.220979690551758,11.52612590789795,12.449820518493652,7.016134738922119,7.407074451446533,10.310736656188965,7.049241065979004,8.279090881347656,7.337927341461182,9.684830665588379,5.235469818115234,11.382808685302734,8.869287490844727,6.483428478240967,4.552640914916992,0.0012993125710636377,0.0009571807458996773,0.19928093768832864,0.09137421538944737,segmented
-703.2747192382812,166.3675994873047,-10.864270210266113,-2.6101021766662598,8.690625190734863,32.70188903808594,17.1257266998291,-5.790765762329102,17.39347267150879,6.825206279754639,-2.4831883907318115,-5.445977687835693,0.42210838198661804,4.42395544052124,15.27281379699707,4.8795037269592285,-11.184167861938477,2.0026047229766846,-2.6973483562469482,-0.2461518794298172,35.83900833129883,12.589595794677734,16.224409103393555,7.870578765869141,6.931593894958496,8.20567512512207,8.01174259185791,8.983975410461426,6.0359907150268555,5.565529823303223,9.608527183532715,6.883609771728516,5.55998420715332,5.61727237701416,6.319708824157715,5.446043014526367,6.448622703552246,5.4757280349731445,5.430054664611816,5.1231842041015625,0.0008565306197851896,0.0002855034836102277,0.035359083751536256,0.04876976519948903,segmented
